Year,Mean,Uncertainty
2023,419.32,0.15
2022,417.08,0.07
2021,414.7,0.07
2020,412.44,0.06
2019,410.07,0.07
2018,407.61,0.07
2017,405.22,0.07
2016,403.06,0.06
2015,399.65,0.05
2014,397.34,0.05
2013,395.4,0.06
2012,392.65,0.06
2011,390.62,0.05
2010,388.75,0.06
2009,386.5,0.04
2008,385.02,0.05
2007,382.9,0.04
2006,381.15,0.05
2005,378.98,0.05
2004,376.95,0.06
2003,375.15,0.04
2002,372.58,0.04
2001,370.57,0.05
2000,368.96,0.06
1999,367.8,0.05
1998,365.7,0.04
1997,363.05,0.05
1996,361.93,0.04
1995,360.17,0.05
1994,358.33,0.08
1993,356.83,0.07
1992,356.09,0.06
1991,355.39,0.07
1990,354.05,0.07
1989,352.79,0.07
1988,351.16,0.07
1987,348.68,0.1
1986,346.97,0.07
1985,345.54,0.07
1984,344.07,0.08
1983,342.53,0.06
1982,340.86,0.03
1981,340.11,0.09
1980,338.91,0.07
1979,336.85,0.11